"","participants","SIC_primary","date_announced","date_terminated","business_description","participant_nation","alliance_deal_name","alliance_SIC_code","alliance_nation","status","type","ownership_structure","deal_number"
"1","DELL","3571","2010-01-04","","Manufacture,wholesale computer","United States","DELL INC/INFOBIRD- STRATEGIC ALLIANCE","7372","Supranational","Completed/Signed","Strategic Alliance",NA,2175177045
"49","IBM ","3571","2010-01-12","","Manufacture computer products","United States","SNCF/IBM CORP- JOINT VENTURE","7376","France","Completed/Signed","Joint Venture",49,2174224045
"55","PANASONIC COMPUTER SOLUTIONS","3571","2010-01-13","","Mnfr notebook computers","United States","PANASONIC COMPUTER SOLUTIONS CO/TRACEWELL SYSTEMS INC- STRATEGIC ALLIANCE","7372","United States","Completed/Signed","Strategic Alliance",NA,2173817045
"126","AIRVOICE GROUP","4812","2010-02-10","","Pvd telecommunications svcs","India","AIRVOICE GROUP/SJVN LTD-JOINT VENTURE","499A","India","Completed/Signed","Joint Venture",52,2501019045
"216","SHANGHAI AEROSPACE AUTOMOBILE","3663","2010-03-31","","Mnfr,whl energy prod,auto part","China","SHANGHAI AEROSPACE AUTOMOBILE ELECTROMECHANICAL/HIMIN SOLAR ENERGY GROUP CO~LTD-JOINT VENTURE","499A","Spain","Completed/Signed","Joint Venture",90,2579954045
"241","PERSAY","3663","2010-04-20","","Manufacture biometric speaker","Israel","HUAWEI TECHNOLOGIES CO LTD/PERSAY LTD- STRATEGIC ALLIANCE","3661","Supranational","Completed/Signed","Strategic Alliance",NA,2178049045
"248","TELEFONAKTIEBOLAGET LM","4812","2010-04-21","","Provides telecommunications services","Sweden","ERICSSON/LG ELECTRONICS INC- JOINT VENTURE","4812","South Korea","Completed/Signed","Joint Venture",50,2179891045
"302","IBM ","3571","2010-05-05","","Manufacture computer products","United States","IBM /TEXAS TRANSPORTATION INSTITUTE- STRATEGIC ALLIANCE","8748","United States","Completed/Signed","Strategic Alliance",NA,2181253045
"310","FASTWEB","4812","2010-05-06","","Pvd telecommunications service","Italy","FASTWEB SPA/WIND TELECOMUNICAZIONI SPA/VODAFONE SPA- STRATEGIC ALLIANCE","7375","Italy","Completed/Signed","Strategic Alliance",NA,2181607045
"387","SIEMENS","3663","2010-05-19","","Manufactures and wholesales telecommunications equipment","Germany","SIEMENS AG/ZAO ISKRA-AVIGAZ -LCC RUSSIAN TURBO MACHINERY JOINT VENTURE","3563","Russian Fed","Completed/Signed","Joint Venture",51,2185185045
"412","MOBILEACTIVE","4812","2010-05-24","","Pvd wireless telecommun svcs","Australia","MOBILE ACTIVE LTD(DNU)/MOBILE INTERACTIVE GROUP- STRATEGIC ALLIANCE","3663","Australia","Completed/Signed","Strategic Alliance",NA,2186378045
"414","NOKIA OYJ","3663","2010-05-24","","Mnfr network infrastructure products","Finland","NOKIA OYJ/YAHOO! INC- STRATEGIC ALLIANCE","7379","Supranational","Completed/Signed","Strategic Alliance",NA,2186277045
"437","ELANDIA INTERNATIONAL","4812","2010-05-25","","Pvd commun,info tech svcs","United States","AMPER ESPANIA(DNU)/E-LANDIA INTERNATIONAL(DNU)- STRATEGIC ALLIANCE","4813","United States","Completed/Signed","Strategic Alliance",NA,2186401045
"457","FOUNDER GROUP ","3571","2010-05-27","","Mnfr,whl electronic computers","China","ACER INC/FOUNDER GROUP-STRATEGIC ALLIANCE","3571","China","Completed/Signed","Strategic Alliance",NA,2440524045
"533","SMART HUB","4812","2010-06-09","","Pvd telecommunications svcs","Philippines","MASTERCARD INC/SMART HUB INC- JOINT VENTURE","7374","United States","Completed/Signed","Joint Venture",50,2191126045
"753","APPLIED SIGNAL TECHNOLOGY","3663","2010-07-29","","Mnfr,whl signal equipment","United States","APPLIED SIGNAL TECHNOLOGY INC/HARRIS(DNU)- STRATEGIC ALLIANCE","3812","Supranational","Completed/Signed","Strategic Alliance",NA,2207084045
"804","SAMSUNG ELECTRONIC ","3663","2010-08-10","","Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing","South Korea","SAMSUNG ELECTRONICS CO LTD/NANOSYS INC- STRATEGIC ALLIANCE","3674","Supranational","Completed/Signed","Strategic Alliance",NA,2210746045
"885","HEWLETT PACKARD ","3571","2010-08-31","","Mnfr,whl computer equipment","United States","HYNIX SEMICONDUCTOR CORP(DNU)/HP(DNU)- STRATEGIC ALLIANCE","3674","Supranational","Completed/Signed","Strategic Alliance",NA,2216122045
"900","TELEFONAKTIEBOLAGET LM","4812","2010-09-07","","Provides telecommunications services","Sweden","TELEFONAKTIEBOLAGET LM ERICSSON/MOTOROLA(DNU)- STRATEGIC ALLIANCE","3663","Supranational","Completed/Signed","Strategic Alliance",NA,2218334045
"901","MOTOROLA SOLUTIONS","3663","2010-09-07","","Manufactures integrated communication products","United States","TELEFONAKTIEBOLAGET LM ERICSSON/MOTOROLA(DNU)- STRATEGIC ALLIANCE","3663","Supranational","Completed/Signed","Strategic Alliance",NA,2218334045
"925","NOKIA OYJ","3663","2010-09-15","","Mnfr network infrastructure products","Finland","INTUIT(DNU)/NOKIA OYJ- STRATEGIC ALLIANCE","3663","Supranational","Completed/Signed","Strategic Alliance",NA,2220346045
"936","MOBILEACTIVE","4812","2010-09-16","","Pvd wireless telecommun svcs","Australia","MOBILEACTIVE LTD/4TH SCREEN ADVERTISING LTD-JOINT VENTURE","7312","Australia","Completed/Signed","Joint Venture",50,2500938045
"1146","INFORMATICA FUEGUINA","3571","2010-12-06","","Mnfr,wholesale computers","Argentina","INFORMATICA FUEGUINA(DNU)/POSITIVO INFORMATICA SA- JOINT VENTURE","3571","Argentina","Completed/Signed","Joint Venture",50,2254757045
"1147","POSITIVO INFORMATICA","3571","2010-12-06","","Mnfr,whl,retail computers","Brazil","INFORMATICA FUEGUINA(DNU)/POSITIVO INFORMATICA SA- JOINT VENTURE","3571","Argentina","Completed/Signed","Joint Venture",50,2254757045
"1175","ELECTRONIC SYSTEM TECHNOLOGY","3663","2010-12-15","","Mnfr commun hardware","United States","FLANDERS INC/ELECTRONIC SYSTEMS TECHNOLOGY INC-STRATEGIC ALLIANCE","4899","Supranational","Completed/Signed","Strategic Alliance",NA,2499738045
"1188","PTK CENTERTEL SP ZOO","4812","2010-12-18","","Pvd telecommunications svcs","Poland","PTK CENTERTEL SP ZOO/POLSKA TELEFONIA CYFROWA SP ZOO-JOINT VENTURE","4812","Poland","Completed/Signed","Joint Venture",50,2530589045
"1251","T-MOBILE INTERNATIONAL","4812","2011-01-01","","Pvd wireless commun svcs","Germany","T-MOBILE INTERNATIONAL AG/TELEKOMUNIKACJA POLSKA SA-STRATEGIC ALLIANCE","4812","Poland","Completed/Signed","Strategic Alliance",NA,2581358045
"1268","SAMSUNG ELECTRONIC ","3663","2011-01-06","","Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing","South Korea","DREAMWORKS ANIMATION INC/SAMSUNG ELECTRONICS CO LTD-STRATEGIC ALLIANCE","7812","Supranational","Completed/Signed","Strategic Alliance",NA,2257486045
"1341","LENOVO GROUP","3571","2011-01-26","","Mnfr,wholesale computer prod","Hong Kong","NEC CORP/LENOVO GROUP LTD- JOINT VENTURE","3571","Japan","Completed/Signed","Joint Venture",51,2274578045
"1348","NOKIA OYJ","3663","2011-01-28","","Mnfr network infrastructure products","Finland","NOKIA OYJ/SINA CORP/TENCENT HOLDINGS LTD-STRATEGIC ALLIANCE","4833","China","Completed/Signed","Strategic Alliance",NA,3092368045
"1373","VIRGIN MOBILE USA","4812","2011-02-03","","Pvd wireless commun svcs","United States","VIRGIN MOBILE USA INC /RELATIVITY MEDIA LLC -STRATEGIC ALLIANCE","7812","United States","Completed/Signed","Strategic Alliance",NA,2277708045
"1383","NOKIA OYJ","3663","2011-02-11","","Mnfr network infrastructure products","Finland","NOKIA OYJ/MICROSOFT CORP-STRATEGIC ALLIANCE","7372","Supranational","Completed/Signed","Strategic Alliance",NA,2279770045
"1390","TELEFONAKTIEBOLAGET LM","4812","2011-02-14","","Provides telecommunications services","Sweden","AKAMAI TECHNOLOGIES INC/TELEFONAKTIEBOLAGET LM ERICSSON-STRATEGIC ALLIANCE","7372","Supranational","Completed/Signed","Strategic Alliance",NA,2280588045
"1397","SMART COMMUNICATION","4812","2011-02-16","","Pvd wireless telecommun svcs","Philippines","SMART COMMUNICATIONS INC/HUAWEI TECHNOLOGIES INC-STRATEGIC ALLIANCE","8731","Philippines","Completed/Signed","Strategic Alliance",NA,3075648045
"1468","MOBILE STREAMS","4812","2011-03-10","","Pvd wireless telecommun svcs","United Kingdom","MOBILE STREAMS PLC/INFOSYS TECHNOLOGIES LTD- STRATEGIC ALLIANCE","5734","Supranational","Completed/Signed","Strategic Alliance",NA,2288926045
"1470","QUANTA COMPUTER","3571","2011-03-10","","Mnfr electn computers","Taiwan","QUANTA COMPUTER INC/3M CO(WAS 604059)- JOINT VENTURE","7371","Singapore","Completed/Signed","Joint Venture",50,2288965045
"1499","IBM ","3571","2011-03-18","","Manufacture computer products","United States","BUONGIORNO DIGITAL INNOVATION INDIA PVT/INTERNATIONAL BUSINESS MACHINES~CORP- STRATEGIC ALLIANCE","7371","India","Completed/Signed","Strategic Alliance",NA,2292039045
"1502","VERIZON WIRELESS","4812","2011-03-20","","Pvd wireless telecommun svcs","United States","VERIZON WIRELESS CAPITAL LLC(DNU)/ILS TECHNOLOGY INC-STRATEGIC ALLIANCE","7372","United States","Completed/Signed","Strategic Alliance",NA,2292638045
"1638","TURK TELEKOMUNIKASYON","4812","2011-04-14","","Provide telecommunications services","Turkey","TELEFONICA SA/TURK TELEKOMUNIKASYON AS- STRATEGIC ALLIANCE","4812","Germany","Completed/Signed","Strategic Alliance",NA,2300656045
